original,mimetype,timestamp,endtimestamp,groupcount,uniqcount
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_24-febbraio-2021_appendix.pdf,application/pdf,20210228082400,20211028040901,259,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_24-marzo-2021_appendix.pdf,application/pdf,20210328080135,20211208040700,218,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_25-agosto-2020_appendix.pdf,application/pdf,20200829163551,20211027120518,498,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_25-agosto-2021_appendix.pdf,application/pdf,20210829080423,20211208040828,63,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_25-novembre-2020_appendix.pdf,application/pdf,20201129072114,20211027114614,398,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_26-maggio-2020_appendix.pdf,application/pdf,20200530163551,20211101041047,559,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_26-maggio-2021_appendix.pdf,application/pdf,20210530080531,20211115040701,157,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_26-marzo-2020_appendix.pdf,application/pdf,20200327173832,20211116040844,650,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_27-gennaio-2021_appendix.pdf,application/pdf,20210131052122,20211208040650,301,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_27-ottobre-2020_appendix.pdf,application/pdf,20201031173639,20211109040921,443,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_27-ottobre-2021_appendix.pdf,application/pdf,20211124071910,20211208040804,2,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_28-aprile-2020_appendix.pdf,application/pdf,20200430163552,20211106040917,589,3
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_28-aprile-2021_appendix.pdf,application/pdf,20210502074041,20211208040813,189,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_28-luglio-2020_appendix.pdf,application/pdf,20200803190352,20211208040919,519,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_28-luglio-2021_appendix.pdf,application/pdf,20210801081512,20211107040854,94,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_29-dicembre-2020_appendix.pdf,application/pdf,20210101073059,20211110040912,360,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_29-settembre-2020_appendix.pdf,application/pdf,20201003083831,20211208040722,451,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_29-settembre-2021_appendix.pdf,application/pdf,20211003075201,20211208040632,25,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_3-febbraio-2021_appendix.pdf,application/pdf,20210207051329,20211208040841,296,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_3-giugno-2020_appendix.pdf,application/pdf,20200606234558,20211208040942,557,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_3-marzo-2021_appendix.pdf,application/pdf,20210307080734,20211027093803,237,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_3-novembre-2021_appendix.pdf,application/pdf,20211122080955,20211122080955,1,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_30-giugno-2020_appendix.pdf,application/pdf,20200704173843,20211208040938,547,2
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_30-giugno-2021_appendix.pdf,application/pdf,20210704085654,20211107040806,118,1
https://www.epicentro.iss.it/coronavirus/bollettino/Bolletino-sorveglianza-integrata-COVID-19_30-marzo-2020_appendix.pdf,application/pdf,20200331163628,20211027124410,663,3
