"Puglia","Lecce","Galatina","4160410280","161942930458787802","H29J21002810001","18.800","No","2.225.333,23","-","2.225.333,23","158.277,42","C","04/06/2021","Sì","-","99,83","-","171.419,51","376.748,78","474.599,24","641.499,45","561.066,25"
"Puglia","Bari","Modugno","4160090270","627842930527026502","B37H21003320001","17.200","No","2.000.000,00","-","2.000.000,00","138.320,00","A","04/06/2021","Sì","-","99,83","140.890,14","172.378,31","675.619,00","428.522,65","310.778,11","271.811,78"
"Puglia","Bari","Modugno","4160090270","627842930527026502","B37H21003290001","3.806","No","3.000.000,00","-","3.000.000,00","141.400,00","B","04/06/2021","Sì","-","99,83","176.112,68","238.596,02","1.035.536,41","656.806,28","476.336,59","416.612,02"
"Umbria","Perugia","Todi","3100580520","998342930480337001","J43D21003110001","30.270","Sì","5.000.000,00","244.203,83","4.755.796,17","194.699,51","C","03/06/2021","Sì","-","99,82","560,86","92.565,09","685.608,17","1.282.484,46","1.373.388,67","1.321.188,92"
"Liguria","Genova","Chiavari","1070340150","966042930523863102","J23D21000600004","2.300","Sì","5.670.000,00","670.000,00","5.000.000,00","87.200,00","B","28/05/2021","Sì","-","99,81","-","-","695.353,44","1.363.256,65","1.569.061,89","1.372.328,02"
"Trentino-Alto Adige/Südtirol","Bolzano/Bozen","Bressanone/Brixen","2040140080","426242930508104501","C85I21000000004","1.100","No","3.512.225,06","-","3.512.225,06","239.377,38","B","04/06/2021","Sì","-","99,81","35.222,54","301.169,40","850.031,77","985.704,87","714.864,19","625.232,29"
"Abruzzo","Teramo","Giulianova","4130790240","454942930543521201","F63D21003180001","630","No","800.000,00","-","800.000,00","30.000,00","A","04/06/2021","Sì","-","99,81","21.133,52","156.887,85","249.133,05","158.016,80","114.598,76","100.230,01"
"Abruzzo","Teramo","Giulianova","4130790240","454942930543521201","F63D21003230001","2.200","No","2.700.000,00","-","2.700.000,00","94.000,00","A","04/06/2021","Sì","-","99,81","66.218,37","503.708,73","853.199,03","541.155,75","392.463,19","343.254,93"
"Abruzzo","Teramo","Giulianova","4130790240","454942930543521201","F63D21003240001","12.000","No","1.500.000,00","-","1.500.000,00","52.000,00","B","04/06/2021","Sì","-","99,81","36.631,44","313.046,74","460.760,51","292.245,06","211.945,31","185.370,95"
"Emilia-Romagna","Ferrara","Argenta","2080290010","223242930522271402","C96B19000370001","545","Sì","350.000,00","20.000,00","330.000,00","43.460,00","B","03/06/2021","Sì","-","99,77","-","101.741,80","91.428,64","57.990,15","42.056,28","36.783,13"
"Emilia-Romagna","Ferrara","Argenta","2080290010","223242930522271402","C97B20000690004","20.683","Sì","3.650.000,00","80.747,07","3.569.252,93","315.741,48","B","03/06/2021","Sì","-","99,77","-","745.876,19","1.130.901,34","717.293,09","520.203,52","454.978,78"
"Lazio","Rieti","Rieti","3120690570","832742930459978602","F13D21002220001","135.000","No","15.000.000,00","-","15.000.000,00","750.000,00","B","27/05/2021","Sì","-","99,75","-","231.231,36","2.210.538,46","3.521.136,02","4.687.407,99","4.349.686,16"
"Lazio","Rieti","Rieti","3120690570","832742930459978602","F13D21002230001","985","No","2.500.000,00","-","2.500.000,00","155.000,00","B","27/05/2021","Sì","-","99,75","-","47.787,81","443.492,97","705.105,84","695.402,55","608.210,81"
"Lazio","Rieti","Rieti","3120690570","832742930459978602","F17H20005820001","8.000","No","2.500.000,00","-","2.500.000,00","200.000,00","B","27/05/2021","Sì","-","99,75","-","61.661,70","455.960,52","713.013,59","677.132,60","592.231,60"
"Emilia-Romagna","Modena","Fiorano Modenese","2080500130","218542930447738002","G85I18000440004","302","No","549.527,09","-","549.527,09","21.620,85","B","09/06/2021","Sì","-","99,74","15.230,82","125.293,49","163.825,74","103.909,22","75.358,23","65.909,58"
"Emilia-Romagna","Modena","Fiorano Modenese","2080500130","218542930447738002","G89D17000810002","1.150","Sì","1.165.000,00","500.000,00","665.000,00","-","B","09/06/2021","Sì","-","99,74","-","18.114,24","259.109,59","164.344,59","119.187,87","104.243,72"
"Piemonte","Torino","Torino","1010812620","409242930459718201","C17H21002770001","7.922","No","3.500.000,00","-","3.500.000,00","-","B","01/06/2021","Sì","-","99,74","-","-","420.576,68","1.305.099,66","946.499,35","827.824,31"
"Piemonte","Torino","Torino","1010812620","409242930459718201","C11B21003840001","13.911","No","16.500.000,00","-","16.500.000,00","550.000,00","B","01/06/2021","Sì","-","99,74","-","92.492,54","183.254,25","2.023.390,61","4.134.638,21","10.066.224,38"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G23D21000680001","1.947","No","1.000.000,00","-","1.000.000,00","50.108,13","B","23/04/2021","Sì","-","99,72","211.335,21","243.152,04","218.504,70","138.590,26","100.510,02","87.907,76"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G23D21000690001","500","No","800.000,00","-","800.000,00","36.701,63","B","23/04/2021","Sì","-","99,72","169.068,17","194.521,63","174.803,76","110.872,21","80.408,02","70.326,21"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G29J21001000001","7.400","No","970.000,00","-","970.000,00","45.970,70","B","23/04/2021","Sì","-","99,72","683.317,19","88.386,74","79.427,33","50.378,12","36.535,79","31.954,82"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G23D21000700001","2.970","No","2.230.000,00","-","2.230.000,00","104.649,93","B","23/04/2021","Sì","-","99,72","471.277,53","542.229,05","487.265,49","309.056,28","224.137,34","196.034,31"
"Umbria","Perugia","Spoleto","3100580510","677942930525818002","B33D21002760001","3.800","No","5.000.000,00","-","5.000.000,00","200.000,00","B","03/06/2021","Sì","-","99,71","59.878,31","302.179,83","654.073,59","815.360,40","1.095.428,03","2.073.079,85"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H29J21001610001","1.950","Sì","400.000,00","23.193,30","376.806,70","18.677,10","A","01/06/2021","Sì","-","99,71","-","8.178,34","147.653,80","93.651,89","67.919,30","59.403,37"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H25F21000110001","819","Sì","600.000,00","39.523,65","560.476,35","32.671,07","B","01/06/2021","Sì","-","99,71","-","12.793,76","219.373,83","139.141,52","100.909,81","88.257,42"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H25F21000140001","400","Sì","800.000,00","49.126,67","750.873,33","40.828,65","B","01/06/2021","Sì","-","99,71","-","16.589,17","145.051,90","249.724,30","181.107,92","158.400,04"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H25F21000120001","2.398","Sì","1.700.000,00","89.302,97","1.610.697,03","75.042,87","B","01/06/2021","Sì","-","99,71","-","33.490,82","188.713,48","426.854,81","512.978,37","448.659,54"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H24E21000270001","540","Sì","400.000,00","20.638,22","379.361,78","17.414,00","B","01/06/2021","Sì","-","99,71","-","6.901,23","149.188,78","94.625,48","68.625,38","60.020,91"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H25F21000130001","350","Sì","500.000,00","30.451,20","469.548,80","28.683,28","B","01/06/2021","Sì","-","99,71","-","11.552,51","183.450,05","116.356,26","84.385,23","73.804,74"
"Marche","Macerata","Recanati","3110440440","185442930539869301","H28I21001590001","750","Sì","600.000,00","38.314,73","561.685,27","25.040,21","B","01/06/2021","Sì","-","99,71","-","11.823,83","220.246,57","139.695,07","101.311,26","88.608,54"
"Toscana","Arezzo","Sansepolcro","3090050340","552842930534076701","H63D21000400001","60.000","No","5.000.000,00","-","5.000.000,00","87.674,00","B","03/06/2021","Sì","-","99,70","-","1.541.542,40","1.385.282,49","878.638,58","637.216,35","557.320,18"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H69J21003330001","5.391","No","520.000,00","-","520.000,00","30.000,00","B","03/06/2021","Sì","-","99,69","-","15.415,42","202.110,96","128.192,25","92.969,06","81.312,31"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H64E21000240001","6.403","No","1.600.000,00","-","1.600.000,00","54.000,00","B","03/06/2021","Sì","-","99,69","-","27.747,76","629.764,40","399.438,60","289.685,45","253.363,78"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H69J21003340001","144","No","110.000,00","-","110.000,00","7.400,00","B","03/06/2021","Sì","-","99,69","-","4.624,63","42.208,02","26.771,14","19.415,28","16.980,93"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H69J21003320001","6.270","No","1.800.000,00","-","1.800.000,00","65.000,00","B","03/06/2021","Sì","-","99,69","-","30.830,85","708.639,32","449.466,34","325.967,13","285.096,36"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H69J21003310001","9.232","No","7.400.000,00","-","7.400.000,00","210.000,00","B","03/06/2021","Sì","-","99,69","-","524.124,42","1.151.929,72","1.663.019,30","2.166.270,13","1.894.656,43"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H63D21000430001","61.000","No","3.200.000,00","-","3.200.000,00","50.000,00","B","03/06/2021","Sì","-","99,69","-","27.747,76","1.270.643,15","805.926,67","584.483,38","511.199,03"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H63D21000420001","4.155","No","260.000,00","-","260.000,00","11.000,00","B","03/06/2021","Sì","-","99,69","-","27.747,76","93.028,45","59.004,85","42.792,18","37.426,76"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H68I21002340001","807","No","2.400.000,00","-","2.400.000,00","92.000,00","B","03/06/2021","Sì","-","99,69","-","46.246,27","41.558,47","662.078,67","880.242,04","769.874,55"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H67H21001370001","254","No","410.000,00","-","410.000,00","20.000,00","B","03/06/2021","Sì","-","99,69","-","36.997,02","149.406,05","94.763,29","68.725,32","60.108,32"
"Sardegna","Nuoro","Nuoro","5200530490","985242928800758901","H68I21002330001","807","No","2.300.000,00","-","2.300.000,00","88.000,00","B","03/06/2021","Sì","-","99,69","-","33.913,93","579.228,64","714.912,12","518.476,77","453.468,54"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E99E19000400004","548","Sì","320.000,00","11.829,14","308.170,86","15.018,24","B","09/06/2021","Sì","-","99,69","10.579,61","91.749,91","82.449,59","52.295,03","37.926,00","33.170,72"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E97D18000260006","5.756","Sì","1.605.512,00","108.212,07","1.497.299,93","49.736,12","B","09/06/2021","Sì","-","99,69","-","461.630,27","414.836,67","263.117,10","190.820,80","166.895,09"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E91B18000260004","1.617","Sì","200.000,00","18.315,79","181.684,21","-","C","09/06/2021","Sì","-","99,69","127.987,57","16.555,13","14.877,00","9.435,99","6.843,28","5.985,24"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E94H20001520004","3.470","Sì","200.000,00","8.897,12","191.102,88","2.721,48","B","09/06/2021","Sì","-","99,69","64.177,49","39.132,17","35.165,50","22.304,31","16.175,79","14.147,62"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E95B18000250006","1.540","Sì","1.029.690,00","82.627,03","947.062,97","26.288,36","B","09/06/2021","Sì","-","99,69","18.518,85","286.278,02","257.259,18","163.170,94","118.336,70","103.499,27"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E95B18000260006","836","No","321.872,00","-","321.872,00","-","B","09/06/2021","Sì","-","99,69","11.371,80","95.729,84","86.026,10","54.563,49","39.571,16","34.609,61"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E91B21001870004","1.480","Sì","200.000,00","8.550,57","191.449,43","2.297,43","C","09/06/2021","Sì","-","99,69","134.866,69","17.444,94","15.676,62","9.943,16","7.211,09","6.306,94"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E94H20001550004","33.265","Sì","400.000,00","12.126,00","387.874,00","5.037,46","B","09/06/2021","Sì","-","99,69","132.347,97","78.780,84","70.795,15","44.903,01","32.565,07","28.481,96"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E92C20000090004","3.168","Sì","240.000,00","20.913,09","219.086,91","-","B","09/06/2021","Sì","-","99,69","154.335,93","19.963,28","17.939,68","11.378,54","8.252,08","7.217,41"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E94H20001500004","17.180","Sì","500.000,00","28.865,14","471.134,86","4.447,24","B","09/06/2021","Sì","-","99,69","120.556,07","108.086,41","97.130,13","61.606,41","44.678,91","39.076,93"
"Piemonte","Novara","Borgomanero","1010520230","357942930184642001","E91B19000260004","1.479","Sì","200.000,00","8.550,57","191.449,43","2.297,43","C","09/06/2021","Sì","-","99,69","134.866,69","17.444,94","15.676,62","9.943,16","7.211,09","6.306,94"
"Puglia","Bari","Rutigliano","4160090360","261342930550042501","H49J21001970001","11.660","No","1.746.000,00","-","1.746.000,00","56.731,30","B","01/06/2021","Sì","-","99,69","42.267,04","36.298,07","192.838,37","334.217,46","509.106,19","631.272,87"
"Puglia","Bari","Rutigliano","4160090360","261342930550042501","H45F21000770001","3.500","No","1.300.000,00","-","1.300.000,00","57.096,00","A","01/06/2021","Sì","-","99,69","35.222,54","23.054,53","156.904,32","269.044,39","355.152,16","460.622,07"
"Puglia","Bari","Rutigliano","4160090360","261342930550042501","H47H21001400001","20.000","No","1.670.000,00","-","1.670.000,00","34.943,52","B","01/06/2021","Sì","-","99,69","35.222,54","19.971,44","178.166,70","324.911,72","502.357,37","609.370,23"
"Liguria","Savona","Savona","1070740560","828542930452138102","C55F21000550005","1.500","Sì","3.560.000,00","110.000,00","3.450.000,00","135.420,00","A","01/06/2021","Sì","-","99,69","-","73.994,04","1.067.866,60","978.219,49","709.435,56","620.484,32"
"Liguria","Savona","Savona","1070740560","828542930452138102","C53D21001420005","464","Sì","1.190.000,00","90.000,00","1.100.000,00","43.170,00","A","01/06/2021","Sì","-","99,69","-","154.154,24","378.857,78","240.296,88","174.270,86","152.420,24"
"Liguria","Savona","Savona","1070740560","828542930452138102","C55F21000540007","6.900","Sì","14.319.800,00","719.800,00","13.600.000,00","402.600,00","A","01/06/2021","Sì","-","99,69","-","154.154,24","2.141.274,34","3.901.017,10","3.949.369,28","3.454.185,04"
"Liguria","Savona","Savona","1070740560","828542930452138102","C53D21001430005","2.300","Sì","2.000.000,00","150.000,00","1.850.000,00","152.720,00","B","01/06/2021","Sì","-","99,69","-","-","400.549,22","614.296,10","445.506,86","389.647,82"
"Toscana","Firenze","Figline e Incisa Valdarno","3090300155","926842930544415802","F97F18000010005","2.886","Sì","1.450.000,00","138.500,00","1.311.500,00","-","B","08/06/2021","Sì","-","99,69","923.887,11","119.504,34","107.390,67","68.114,33","49.398,65","43.204,90"
"Toscana","Firenze","Figline e Incisa Valdarno","3090300155","926842930544415802","F91E08000020006","2.765","Sì","4.313.160,91","2.813.160,91","1.500.000,00","-","B","08/06/2021","Sì","-","99,69","1.056.676,07","136.680,53","122.825,78","77.904,30","56.498,65","49.414,67"
"Sardegna","Cagliari","Monserrato","5200170381","603542930459425401","C38I21000220005","1.818","No","340.000,00","-","340.000,00","80.000,00","B","03/06/2021","Sì","-","99,68","-","104.824,88","94.199,21","59.747,42","43.330,71","37.897,77"
"Sardegna","Cagliari","Monserrato","5200170381","603542930459425401","C34E12000300005","1.122","No","380.000,00","-","380.000,00","29.178,34","B","03/06/2021","Sì","-","99,68","-","117.157,22","105.281,47","66.776,53","48.428,44","42.356,33"
"Sardegna","Cagliari","Monserrato","5200170381","603542930459425401","C38I09000130005","483","No","1.474.841,92","-","1.474.841,92","264.255,56","B","03/06/2021","Sì","-","99,68","-","308.308,48","467.254,06","296.363,70","214.932,28","187.983,40"
"Sardegna","Cagliari","Monserrato","5200170381","603542930459425401","C37H17001480005","240","No","210.000,00","-","210.000,00","75.000,00","B","03/06/2021","Sì","-","99,68","-","64.744,78","58.181,86","36.902,82","26.763,09","23.407,45"
"Sardegna","Cagliari","Monserrato","5200170381","603542930459425401","C37H11002720006","580","No","330.000,00","-","330.000,00","63.755,14","B","03/06/2021","Sì","-","99,68","-","101.741,80","91.428,64","57.990,15","42.056,28","36.783,13"
